masked_fivegram,training_document_frequency,training_document_pct,countries_present
amt years of experience in,2473,0.187821,25
for four years in the,2473,0.187821,9
to support her two children,2472,0.187745,13
fattening business for amt years,2471,0.187669,5
to buy goods every day,2471,0.187669,6
will use the increased income,2471,0.187669,6
amount of amt org through,2470,0.187593,5
quality and quantity of her,2470,0.187593,9
name has farm where she,2467,0.187365,7
year old married mother of,2467,0.187365,33
for the maintenance of her,2466,0.18729,8
dreams of saving money to,2465,0.187214,3
to save money in order,2465,0.187214,11
with her husband in the,2463,0.187062,25
old and lives in loc,2461,0.18691,27
pay for her children education,2461,0.18691,34
her children to school she,2460,0.186834,24
for two years in the,2459,0.186758,8
to give her children good,2458,0.186682,17
this loan will help improve,2457,0.186606,18
finance her business she will,2456,0.18653,5
has benefited from enterprise development,2455,0.186454,3
through training and loan financing,2455,0.186454,3
to kiva its lenders and,2455,0.186454,4
lives with her husband in,2453,0.186302,28
plans to use the loan,2453,0.186302,28
that this loan will be,2453,0.186302,15
he will be using the,2452,0.186226,11
to provide her children with,2450,0.186074,30
and amt years old and,2449,0.185998,25
business for two years in,2448,0.185922,7
loan amount of org amt,2447,0.185847,6
future for her family and,2445,0.185695,13
this business for ten years,2445,0.185695,26
increase her business in the,2443,0.185543,12
business for four years in,2442,0.185467,11
enough money to provide secure,2441,0.185391,5
ingredients that will be used,2440,0.185315,3
in her food stall name,2439,0.185239,4
believes that with the help,2438,0.185163,12
where she grows crops and,2437,0.185087,5
come to buy goods every,2436,0.185011,6
loan to pay school fees,2436,0.185011,15
now she asks for loan,2435,0.184935,7
best for her family she,2432,0.184707,9
save enough money to afford,2432,0.184707,4
two children who are still,2431,0.184631,20
does not have enough money,2430,0.184555,25
crops and raises livestock she,2429,0.184479,4
needs and grow her business,2429,0.184479,11
plans to send her children,2429,0.184479,9
years of experience in this,2429,0.184479,25
loc loc he is married,2428,0.184403,16
the future name wants to,2428,0.184403,20
two children both of whom,2428,0.184403,29
amt years now and works,2427,0.184328,6
who are all in school,2427,0.184328,26
living with his family in,2426,0.184252,15
resident of loc she is,2426,0.184252,9
her business has made name,2425,0.184176,5
and has benefited from enterprise,2424,0.1841,3
name has been engaged in,2424,0.1841,20
in the future name wants,2421,0.183872,20
she earns living by raising,2421,0.183872,4
previous loan was repaid successfully,2420,0.183796,8
with this loan she plans,2419,0.18372,27
business for three years now,2417,0.183568,19
her local secondary school helping,2417,0.183568,5
years old with two children,2415,0.183416,20
runs business where she sells,2413,0.183264,13
her previous loan and is,2411,0.183112,12
the trade from her mother,2411,0.183112,5
and motivating them to remain,2409,0.18296,5
blessed with three children she,2409,0.18296,10
business because it helps to,2409,0.18296,3
for loan to pay for,2409,0.18296,23
she is very grateful to,2406,0.182733,22
and energy expenses she spends,2405,0.182657,4
motivating them to remain in,2405,0.182657,5
cows amt sheep and amt,2404,0.182581,3
amt children who are all,2399,0.182201,26
she asks for loan of,2397,0.182049,8
has asked for loan to,2395,0.181897,26
woman who lives with her,2395,0.181897,31
business for three years and,2391,0.181593,23
she and her husband have,2388,0.181366,29
and requested loan of amt,2387,0.18129,8
has five children she is,2387,0.18129,26
children she is group leader,2386,0.181214,4
child she is married and,2385,0.181138,9
buy additional sacks of charcoal,2382,0.18091,5
reality through training and loan,2382,0.18091,3
she will use to pay,2382,0.18091,24
she has been farming for,2381,0.180834,20
hard to support her two,2378,0.180606,4
to sell and increase her,2376,0.180454,19
with her hand raised is,2376,0.180454,10
her dream is to grow,2374,0.180302,13
to enable her to grow,2374,0.180302,5
portion of this loan with,2372,0.18015,3
main source of income is,2371,0.180074,21
with four children between the,2368,0.179847,12
loan to add more stock,2367,0.179771,10
money to provide secure future,2367,0.179771,5
with one child name works,2364,0.179543,9
profit she earns to support,2363,0.179467,9
and is content with the,2361,0.179315,3
he describes his biggest business,2361,0.179315,6
woman who tries her utmost,2361,0.179315,9
with her small income she,2360,0.179239,4
in the year amt and,2359,0.179163,9
she is married with four,2359,0.179163,33
her two children she is,2358,0.179087,19
pay for her children school,2358,0.179087,29
requested loan from kiva field,2358,0.179087,11
the high cost of farm,2356,0.178935,5
loan from org for amt,2355,0.178859,8
is married with one child,2354,0.178783,32
to support her family needs,2354,0.178783,25
month on all of her,2352,0.178631,3
she earns to support her,2351,0.178555,12
local secondary school helping to,2348,0.178328,5
old married and mother of,2348,0.178328,31
to buy more fresh fish,2347,0.178252,10
which she has been doing,2347,0.178252,31
for the past seven years,2346,0.178176,26
save enough money to provide,2346,0.178176,8
as high quality seeds and,2345,0.1781,3
secondary school helping to build,2345,0.1781,5
she has been raising pigs,2343,0.177948,10
with seven children she is,2343,0.177948,11
name has requested amt org,2341,0.177796,9
such as fertilizer and seeds,2337,0.177492,10
and one of her children,2336,0.177416,21
loan she will buy more,2336,0.177416,25
amt years old and as,2334,0.177264,6
she hasn been able to,2334,0.177264,12
year old mother of three,2333,0.177188,33
loan from org to buy,2332,0.177112,24
on their farms name is,2329,0.176885,3
who has farmed for the,2329,0.176885,3
is thankful to kiva and,2327,0.176733,12
her to support her family,2325,0.176581,29
year old mother of two,2325,0.176581,29
as very hardworking individual and,2324,0.176505,4
will now be able to,2324,0.176505,14
amt hours per day and,2321,0.176277,4
will use it to purchase,2321,0.176277,20
not everything has been easy,2320,0.176201,3
over the past few years,2320,0.176201,12
providing them with good quality,2320,0.176201,4
she started the business with,2319,0.176125,17
family she has general store,2318,0.176049,5
org to buy more fresh,2317,0.175973,3
her family she has general,2316,0.175897,4
and therefore save more money,2315,0.175821,3
who tries his utmost to,2315,0.175821,6
fruits and vegetables to sell,2314,0.175745,23
her hopes and dreams are,2314,0.175745,8
which he will use to,2314,0.175745,32
through org loc kiva lending,2313,0.175669,3
buy food for her family,2312,0.175593,13
she has been working as,2311,0.175517,21
in her home her family,2310,0.175442,3
she is widowed and has,2310,0.175442,16
her home her family has,2309,0.175366,3
to become independent and support,2308,0.17529,3
and lives in loc loc,2307,0.175214,16
she is very thankful to,2307,0.175214,23
buy farming inputs such as,2304,0.174986,10
her children to be able,2304,0.174986,15
has requested new loan to,2302,0.174834,11
her family with decent life,2302,0.174834,12
of fish to sell and,2301,0.174758,7
needed for her business name,2300,0.174682,4
children who are all in,2299,0.174606,25
his biggest business challenge to,2299,0.174606,5
in this business for ten,2299,0.174606,24
seven children she is very,2299,0.174606,5
will help to improve her,2299,0.174606,26
like to expand her business,2298,0.17453,29
of three children name works,2298,0.17453,9
is grateful for the financial,2296,0.174378,14
for her children to be,2295,0.174302,19
brighter future for her family,2294,0.174226,11
she is married amt years,2294,0.174226,16
this coming season to send,2294,0.174226,3
because she wants to provide,2293,0.17415,9
of amt children she is,2293,0.17415,28
business she will be using,2291,0.173999,5
hours for her children to,2290,0.173923,3
dark hours for her children,2289,0.173847,3
to secure her family future,2289,0.173847,7
is very excited about this,2287,0.173695,9
years old and mother of,2287,0.173695,31
man who tries his utmost,2286,0.173619,5
products she has been in,2283,0.173391,14
week as org learner guide,2283,0.173391,5
able to expand her business,2281,0.173239,32
be able to support her,2281,0.173239,30
is requesting new loan to,2281,0.173239,21
to improve their living standard,2281,0.173239,14
child she is very hardworking,2278,0.173011,11
for amt years this is,2278,0.173011,19
and mother of three children,2276,0.172859,37
high quality seeds will assure,2276,0.172859,5
purchase farming inputs such as,2276,0.172859,7
rice to support his family,2276,0.172859,3
anticipated profits to pay school,2275,0.172783,3
anticipated income to provide food,2274,0.172707,3
kiva loan in order to,2274,0.172707,24
of income for the family,2273,0.172631,23
region of loc she has,2272,0.172555,8
by providing them with good,2271,0.17248,9
in school name has food,2271,0.17248,3
the profits from the business,2271,0.17248,22
to support her four children,2271,0.17248,7
and has amt children as,2270,0.172404,7
old woman who lives with,2269,0.172328,27
everything has been easy for,2263,0.171872,3
to buy land and build,2262,0.171796,14
asked for loan with org,2261,0.17172,4
food production business she has,2261,0.17172,3
she lives with her partner,2261,0.17172,12
support her two children she,2261,0.17172,7
support his family in their,2260,0.171644,3
in order to improve her,2258,0.171492,31
pay back the loan and,2258,0.171492,13
which she plans to use,2257,0.171416,22
the future are to have,2255,0.171264,9
and to be able to,2253,0.171112,33
future she wants to build,2253,0.171112,13
is now requesting new loan,2252,0.171037,15
amt other family members name,2251,0.170961,4
per week as org learner,2251,0.170961,5
loan to pay for her,2250,0.170885,23
on all of his fuel,2250,0.170885,3
will be thankful to kiva,2249,0.170809,3
hard working entrepreneur she is,2248,0.170733,3
her family living conditions but,2246,0.170581,6
pillar of the agricultural revolution,2246,0.170581,3
meet name amt year old,2245,0.170505,15
source of income is from,2244,0.170429,18
to gain access to financial,2244,0.170429,7
learner guide facilitating classes from,2242,0.170277,5
to meet her family needs,2242,0.170277,32
the past two years name,2241,0.170201,22
the quality of her produce,2241,0.170201,12
kiva field partner the loan,2240,0.170125,6
two years name has been,2240,0.170125,18
by continuing to work with,2238,0.169973,7
decent life he is amt,2238,0.169973,6
this will allow her to,2238,0.169973,35
group will be able to,2236,0.169821,6
of them are currently attending,2235,0.169745,8
for this loan to add,2234,0.169669,8
her to take care of,2234,0.169669,28
loan to expand her business,2234,0.169669,33
she is widow and has,2234,0.169669,27
farming for the past few,2233,0.169593,6
purchase farm inputs such as,2233,0.169593,10
to increase her sales and,2233,0.169593,30
years old and single name,2233,0.169593,12
amt org from org to,2232,0.169518,9
she intends to use the,2232,0.169518,27
them are currently attending school,2230,0.169366,7
lenders for their support with,2229,0.16929,11
of amt school going children,2229,0.16929,13
gain access to financial services,2228,0.169214,6
org to purchase fertilizers and,2227,0.169138,6
high cost of farm inputs,2226,0.169062,6
stocks of groceries to sell,2226,0.169062,4
new loan to further build,2225,0.168986,3
and the mother of five,2224,0.16891,29
in her general store she,2224,0.16891,9
loan she wants to purchase,2224,0.16891,19
become independent and support her,2223,0.168834,3
and raises livestock she also,2222,0.168758,3
cookstove to help her and,2221,0.168682,3
she attended school up to,2221,0.168682,3
inspired to support name with,2220,0.168606,3
business with her own savings,2219,0.16853,4
to support name with loan,2219,0.16853,3
profit this will be name,2218,0.168454,3
she is grateful for the,2218,0.168454,25
to purchase farm inputs such,2218,0.168454,9
has been managing her sales,2217,0.168378,4
inputs such as fertilizers and,2213,0.168075,16
to purchase fertilizers and other,2211,0.167923,5
more fresh fish to sell,2210,0.167847,7
requesting loan of amt to,2210,0.167847,15
to pay for her family,2210,0.167847,24
and has six children she,2209,0.167771,30
for his family he is,2208,0.167695,28
business her dream is to,2207,0.167619,21
reinvest in her business and,2207,0.167619,20
her business she joined org,2206,0.167543,4
her first loan with org,2206,0.167543,14
during dark hours for her,2205,0.167467,3
to buy farming inputs such,2205,0.167467,10
is asking for this loan,2201,0.167163,24
is single woman and has,2200,0.167087,7
their standard of living name,2200,0.167087,16
hut with access to electricity,2198,0.166935,3
in running her business she,2198,0.166935,10
to ensure that his family,2197,0.166859,16
to purchase farming inputs such,2195,0.166707,7
are still pursuing their studies,2194,0.166631,5
family with the profits from,2194,0.166631,18
has been easy for this,2192,0.16648,3
other items she has been,2191,0.166404,14
build house for her family,2190,0.166328,24
this loan name will purchase,2190,0.166328,11
business she joined org in,2189,0.166252,4
for three years now and,2189,0.166252,15
with his wife and children,2189,0.166252,24
has amt children who are,2187,0.1661,25
materials needed for her business,2185,0.165948,5
years old and has seven,2185,0.165948,21
he is grateful to kiva,2184,0.165872,14
with the help of this,2184,0.165872,30
children her hopes and dreams,2183,0.165796,4
she is single woman and,2183,0.165796,11
is the mother of three,2181,0.165644,32
family with decent life she,2180,0.165568,9
three children she runs general,2180,0.165568,3
lives with her partner and,2179,0.165492,14
woman who lives in loc,2176,0.165264,21
loan that will enable her,2175,0.165188,15
her hand raised is the,2174,0.165113,3
old and has seven children,2173,0.165037,19
to provide better future for,2170,0.164809,20
married woman with seven children,2168,0.164657,15
with amt children she has,2167,0.164581,28
and she is proud of,2166,0.164505,9
will be used to pay,2166,0.164505,33
children in the future she,2165,0.164429,19
managed to take care of,2165,0.164429,9
fish to sell she has,2164,0.164353,4
now requesting new loan to,2164,0.164353,12
photo is amt year old,2164,0.164353,15
seeks loan to invest in,2164,0.164353,7
blessed with two children she,2163,0.164277,13
items in the future she,2163,0.164277,6
and grow her business she,2162,0.164201,25
and take care of her,2162,0.164201,34
she is very grateful for,2162,0.164201,20
she thanks you for your,2162,0.164201,14
will be able to plant,2162,0.164201,9
requesting loan to pay for,2160,0.164049,21
loan for the first time,2159,0.163973,13
children she lives in loc,2158,0.163897,21
one child currently in school,2158,0.163897,4
surrounded by prime agricultural lands,2158,0.163897,3
the well being of her,2158,0.163897,28
whom are currently in school,2157,0.163821,18
below the age of amt,2155,0.163669,5
name seeks loan to purchase,2155,0.163669,6
three children she works very,2155,0.163669,6
wants the best for her,2155,0.163669,10
of fish to sell she,2154,0.163594,9
two children who are currently,2154,0.163594,15
with the profits from her,2154,0.163594,27
is amt years old from,2152,0.163442,21
she has asked for loan,2152,0.163442,25
she has requested loan to,2151,0.163366,28
of whom are currently in,2149,0.163214,19
in order to earn enough,2148,0.163138,13
he plans to use the,2147,0.163062,27
with decent life she is,2146,0.162986,8
her family she states that,2145,0.16291,4
has managed to take care,2143,0.162758,7
her food stall name has,2143,0.162758,3
old woman she is married,2143,0.162758,29
over the years she has,2142,0.162682,22
of rice to sell she,2141,0.162606,8
children she is married woman,2140,0.16253,3
of whom go to school,2140,0.16253,25
profits and increase her business,2139,0.162454,3
in remote village in the,2138,0.162378,6
support her four children she,2138,0.162378,4
requesting kiva loan to buy,2137,0.162302,15
new loan she plans to,2134,0.162075,17
with three children name has,2132,0.161923,10
her four children she is,2131,0.161847,19
he is representing his group,2130,0.161771,4
that is why name is,2130,0.161771,16
very grateful to kiva and,2130,0.161771,11
old married woman she has,2128,0.161619,25
sell and increase her business,2128,0.161619,7
woman and the mother of,2128,0.161619,27
to educate her children and,2127,0.161543,26
for five years and sells,2125,0.161391,5
this is his second loan,2123,0.161239,19
for amt org which she,2122,0.161163,10
past two years name has,2122,0.161163,17
she is happily married to,2121,0.161087,5
asking for loan to pay,2118,0.160859,17
dream is to grow her,2118,0.160859,15
her kiva lenders for their,2118,0.160859,14
the photo is amt year,2118,0.160859,15
her deserving candidate for financial,2117,0.160783,3
would like to thank all,2117,0.160783,20
wanted to earn enough to,2116,0.160707,4
two children name works very,2114,0.160556,4
earns living by raising pigs,2112,0.160404,3
two children she works very,2112,0.160404,5
to contribute to the family,2111,0.160328,19
with five children she works,2108,0.1601,9
with three children in school,2108,0.1601,8
old married woman with three,2106,0.159948,30
she has borrowed and repaid,2105,0.159872,6
to get more income from,2105,0.159872,7
basic needs for her family,2104,0.159796,14
children with two children in,2104,0.159796,3
for her children she has,2103,0.15972,24
loan and is now requesting,2102,0.159644,13
amt hectares of irrigated land,2098,0.15934,3
group is made up of,2098,0.15934,14
where he earns low income,2098,0.15934,5
dream is to have good,2097,0.159264,10
who is in school she,2096,0.159189,20
and amt years old she,2095,0.159113,31
as well as farming inputs,2095,0.159113,4
his fuel and electricity expenses,2095,0.159113,3
previous loan and is now,2095,0.159113,9
works as farmer to support,2094,0.159037,5
buy additional items such as,2091,0.158809,5
in the same village and,2091,0.158809,10
this loan will allow her,2090,0.158733,26
to buy additional items such,2090,0.158733,4
to pay her children school,2090,0.158733,31
her loan will be used,2089,0.158657,20
name is looking forward to,2088,0.158581,14
married and blessed with amt,2087,0.158505,12
and improve her family standard,2086,0.158429,23
name has been able to,2086,0.158429,30
in order to buy additional,2085,0.158353,17
with five children she runs,2085,0.158353,10
five children name works hard,2084,0.158277,5
her general store she has,2084,0.158277,8
she believes that with the,2084,0.158277,15
she is engaged in the,2083,0.158201,16
are being used in the,2082,0.158125,3
is the mother of two,2082,0.158125,30
meet the basic needs of,2082,0.158125,20
three children name is married,2082,0.158125,3
loan and improve her family,2081,0.158049,6
name is amt and married,2081,0.158049,26
on the outskirts of the,2081,0.158049,13
to develop her business and,2081,0.158049,28
mother of one child she,2080,0.157973,33
she has been managing her,2080,0.157973,17
with three children all of,2080,0.157973,19
to repay her loan and,2079,0.157897,18
that he is able to,2077,0.157745,23
in order to get the,2076,0.15767,10
of org amt from org,2076,0.15767,10
will be used to repay,2075,0.157594,12
for the past eight years,2074,0.157518,26
to school with this loan,2074,0.157518,12
general store she has been,2073,0.157442,6
to improve her standard of,2073,0.157442,30
who is the group leader,2073,0.157442,6
has amt children she is,2072,0.157366,27
works in the public sector,2071,0.15729,4
help her husband with the,2070,0.157214,24
in order to develop her,2070,0.157214,22
life she is amt year,2070,0.157214,8
food stall name has been,2069,0.157138,3
improve her living conditions and,2069,0.157138,25
loan to buy additional supplies,2068,0.157062,9
this will help name to,2068,0.157062,12
for new loan to buy,2066,0.15691,21
she has high school education,2066,0.15691,3
buy more fresh fish to,2065,0.156834,7
her family she would like,2065,0.156834,21
since she joined the program,2064,0.156758,3
amt year old name is,2063,0.156682,26
decided to do so because,2062,0.156606,4
locals he describes his biggest,2062,0.156606,5
old married woman with two,2062,0.156606,29
to boost the quality of,2062,0.156606,4
she learned the trade from,2061,0.15653,9
and married with eight children,2060,0.156454,16
the future she plans to,2060,0.156454,26
who is currently in school,2060,0.156454,11
all of his fuel and,2059,0.156378,3
lives in loc with her,2059,0.156378,25
with her husband and two,2058,0.156302,34
income from the loan will,2057,0.156227,13
this business for many years,2057,0.156227,19
boost the quality of her,2056,0.156151,3
children to school with this,2056,0.156151,7
of his fuel and electricity,2056,0.156151,3
through this loan name will,2056,0.156151,13
who lives with her parents,2055,0.156075,23
customers are locals he describes,2054,0.155999,5
to buy ingredients such as,2054,0.155999,14
business for three years she,2053,0.155923,27
for this reason she is,2053,0.155923,29
requesting amt org loan through,2053,0.155923,10
three children name works very,2053,0.155923,8
are locals he describes his,2052,0.155847,5
she and her family are,2052,0.155847,17
of the group she is,2049,0.155619,15
to purchase high quality seeds,2049,0.155619,10
and increase her business she,2048,0.155543,15
interest on her second loan,2048,0.155543,5
loan in order to purchase,2048,0.155543,32
name is single and has,2048,0.155543,20
social interest on her second,2047,0.155467,5
her primary source of income,2045,0.155315,19
and mother of two children,2043,0.155163,36
enough to pay for her,2042,0.155087,10
in the future she plans,2042,0.155087,25
promises to repay her loan,2042,0.155087,11
she is thankful to kiva,2041,0.155011,17
always said to be very,2040,0.154935,3
business is doing well enough,2039,0.154859,3
for six years in the,2039,0.154859,8
in the future she is,2039,0.154859,27
order to get the best,2039,0.154859,3
per day and amt days,2039,0.154859,4
her second loan by volunteering,2038,0.154783,5
lives with her parents in,2038,0.154783,26
on her second loan by,2038,0.154783,5
and is now requesting new,2037,0.154708,9
child who is currently in,2037,0.154708,10
children ages amt and amt,2037,0.154708,26
is always said to be,2037,0.154708,3
business for over amt years,2036,0.154632,29
is doing well enough to,2036,0.154632,4
children name has general store,2035,0.154556,3
org to buy additional stock,2035,0.154556,3
now she would like to,2034,0.15448,21
the help of this loan,2034,0.15448,27
hours per week as camfed,2033,0.154404,5
seeking loan to buy seeds,2033,0.154404,7
to buy more stocks of,2033,0.154404,16
and has one child name,2032,0.154328,19
be able to earn more,2032,0.154328,22
one child who is currently,2032,0.154328,9
pay for her family expenses,2032,0.154328,18
woman with seven children she,2032,0.154328,14
dream is to expand her,2031,0.154252,23
future he would like to,2031,0.154252,25
old and married with eight,2031,0.154252,16
without access to electricity with,2031,0.154252,4
in loc district and is,2030,0.154176,5
and they are blessed with,2029,0.1541,10
the past three years name,2029,0.1541,23
business of buying and selling,2028,0.154024,18
hours per day and amt,2028,0.154024,3
two of whom are still,2028,0.154024,23
and is always said to,2027,0.153948,3
says that her life has,2027,0.153948,3
is in school she is,2026,0.153872,18
purchase fertilizers and other farm,2026,0.153872,3
day running her business has,2025,0.153796,5
this will enable him to,2024,0.15372,28
wanted to get the best,2024,0.15372,3
name is married man he,2023,0.153644,12
and has always wanted to,2022,0.153568,5
to add more stock of,2022,0.153568,9
business for five years name,2021,0.153492,15
every day running her business,2021,0.153492,5
mother of amt children who,2021,0.153492,29
with the goal of further,2021,0.153492,10
is the group leader pictured,2020,0.153416,4
change her family living standard,2019,0.15334,5
old married woman and mother,2019,0.15334,24
years and is always said,2019,0.15334,3
production business she has been,2018,0.153265,4
he has applied for loan,2017,0.153189,24
of four children name works,2017,0.153189,9
the education of her children,2017,0.153189,28
with her husband and their,2017,0.153189,30
amount of org amt from,2016,0.153113,3
thanks to name hard work,2016,0.153113,7
asked for loan to buy,2015,0.153037,20
lives in amt bedroom house,2014,0.152961,5
with two children name has,2014,0.152961,15
due to the lack of,2013,0.152885,28
independent and support her family,2013,0.152885,5
and other farm supplies she,2012,0.152809,3
four children all of whom,2012,0.152809,27
group representative she is amt,2012,0.152809,5
lives in her own house,2012,0.152809,16
married with five children with,2012,0.152809,8
years name has requested loan,2012,0.152809,11
amt org she wants to,2010,0.152657,11
items to increase her business,2010,0.152657,5
the right in the photo,2010,0.152657,12
will be able to increase,2010,0.152657,32
with her spouse in the,2010,0.152657,7
business for six years in,2009,0.152581,5
five years she would like,2009,0.152581,10
of providing better living conditions,2009,0.152581,5
is amt and married with,2008,0.152505,30
she will use her loan,2007,0.152429,32
working capital he will use,2007,0.152429,9
to repair and renovate her,2006,0.152353,7
the pillar of the agricultural,2005,0.152277,3
to generate greater profits name,2005,0.152277,5
for her family and community,2004,0.152201,7
is the pillar of the,2004,0.152201,5
name has applied for amt,2004,0.152201,22
requesting new loan to further,2004,0.152201,4
one of the most respected,2003,0.152125,4
wants to take advantage of,2003,0.152125,11
would like to request loan,2003,0.152125,15
she will use to purchase,2000,0.151897,30
to buy new sewing machine,2000,0.151897,25
requesting loan to buy an,1999,0.151821,15
and renovate her family home,1998,0.151746,3
amt year old single woman,1997,0.15167,33
family main source of income,1997,0.15167,18
and vegetables to sell in,1995,0.151518,11
school going children she is,1995,0.151518,15
her community as very hardworking,1994,0.151442,3
her children she is grateful,1993,0.151366,15
children both of whom are,1992,0.15129,25
children currently in school name,1992,0.15129,3
children who are all currently,1992,0.15129,11
for five years she would,1991,0.151214,6
in order to support her,1991,0.151214,33
inadequate working capital he will,1991,0.151214,6
of the photo with her,1991,0.151214,5
be able to buy land,1990,0.151138,11
name bought the org amt,1990,0.151138,3
she has requested for loan,1990,0.151138,14
to org amt per month,1990,0.151138,3
four children she works very,1989,0.151062,6
her dream of providing better,1989,0.151062,4
to purchase additional stocks of,1988,0.150986,9
up to org amt per,1988,0.150986,4
are all currently in school,1987,0.15091,9
for loan in order to,1987,0.15091,33
have access to the best,1987,0.15091,3
to fulfill her dream of,1987,0.15091,16
children she has general store,1985,0.150758,7
house without access to electricity,1985,0.150758,4
improve especially in the sense,1985,0.150758,4
life improve especially in the,1985,0.150758,4
her children her hopes and,1984,0.150682,4
mother of five children she,1984,0.150682,33
org amt per month she,1983,0.150606,4
who lives in loc loc,1983,0.150606,14
in amt and has since,1982,0.15053,5
name has been farming for,1981,0.150454,14
she is seeking loan of,1981,0.150454,16
who lives in amt bedroom,1981,0.150454,4
and increase her income she,1979,0.150303,22
and improve her family quality,1978,0.150227,19
who are still pursuing their,1978,0.150227,5
with one child still in,1978,0.150227,5
loan to purchase essential farm,1977,0.150151,3
org my better world program,1977,0.150151,5
living in the future she,1976,0.150075,10
and other groceries in the,1975,0.149999,3
is in school at the,1975,0.149999,7
child name works very hard,1974,0.149923,3
loc kiva field partner the,1974,0.149923,4
children who are still pursuing,1973,0.149847,3
sells the milk in her,1973,0.149847,3
who are all currently in,1973,0.149847,9
amt years old and from,1972,0.149771,19
three years now and has,1972,0.149771,5
two children between the ages,1972,0.149771,11
will be able to earn,1972,0.149771,27
all currently in school for,1971,0.149695,4
bedroom house without access to,1971,0.149695,4
business goal is to have,1971,0.149695,6
land on which she grows,1971,0.149695,11
is why name is seeking,1970,0.149619,8
day and amt days week,1969,0.149543,5
to start her own business,1969,0.149543,24
trade from her mother and,1969,0.149543,3
business name requested this loan,1968,0.149467,5
providing for their basic needs,1968,0.149467,8
name is kindly requesting loan,1967,0.149391,4
in loc district in loc,1965,0.149239,11
is currently in school name,1964,0.149163,7
plot of land and build,1963,0.149087,16
name is requesting loan from,1962,0.149011,24
support name with loan today,1961,0.148935,4
build their self esteem and,1960,0.148859,5
woman who is married with,1959,0.148784,23
improving their standard of living,1958,0.148708,12
one child name works very,1958,0.148708,3
she lives in her own,1957,0.148632,15
two children she runs general,1957,0.148632,4
some financial help from her,1956,0.148556,3
this loan to add more,1956,0.148556,10
will help her to buy,1956,0.148556,30
build her business in the,1955,0.14848,5
is able to earn enough,1955,0.14848,11
she hopes this will increase,1955,0.14848,14
to earn more income to,1955,0.14848,20
with her new loan she,1955,0.14848,11
like many of his fellow,1953,0.148328,3
will enable her to buy,1952,0.148252,27
sells variety of items she,1951,0.148176,8
feed and vitamins for her,1950,0.1481,6
in the photo with her,1950,0.1481,21
and has amt children who,1949,0.148024,25
capital he will use the,1948,0.147948,9
house name is member of,1948,0.147948,3
the future he would like,1948,0.147948,23
to have access to the,1947,0.147872,9
can have better one this,1946,0.147796,5
for loan of amt to,1946,0.147796,15
in the future he would,1946,0.147796,24
of the price of the,1946,0.147796,6
she hopes this will help,1946,0.147796,14
this business for nine years,1946,0.147796,22
from org my better world,1944,0.147644,5
charcoal energy expenses he spends,1943,0.147568,3
community in order to have,1943,0.147568,4
sell in the future she,1943,0.147568,14
successfully she will use the,1943,0.147568,4
from loc she is single,1942,0.147492,8
her businesses in the future,1942,0.147492,7
plot of land in the,1942,0.147492,16
that he has been able,1942,0.147492,14
blessed with amt children she,1941,0.147416,11
her family living standards she,1941,0.147416,17
to increase her business in,1941,0.147416,16
amt years and is always,1940,0.147341,4
applied for loan with org,1940,0.147341,9
earn an income she runs,1940,0.147341,3
she does not have enough,1940,0.147341,29
using this loan name will,1940,0.147341,6
in her area her business,1939,0.147265,7
she has requested amt org,1939,0.147265,8
in the local market she,1938,0.147189,28
loan he will be able,1938,0.147189,28
requesting loan that will help,1938,0.147189,8
she will use the increased,1938,0.147189,5
earning monthly income of amt,1936,0.147037,4
loan name will be assured,1936,0.147037,3
partner with this loan she,1936,0.147037,3
amt org to buy more,1934,0.146885,18
person she is amt years,1934,0.146885,11
three years name has been,1934,0.146885,19
children she is grateful to,1933,0.146809,11
is the representative of the,1933,0.146809,8
able to pay back the,1932,0.146733,15
of her dream to build,1932,0.146733,3
lives in the loc region,1931,0.146657,9
able to earn enough to,1930,0.146581,15
are to get more income,1930,0.146581,3
that she started in amt,1930,0.146581,9
two children in school name,1929,0.146505,9
her area her business is,1928,0.146429,5
more profits from each harvest,1928,0.146429,3
goals are to get more,1927,0.146353,3
one child she is married,1927,0.146353,9
area her business is doing,1926,0.146277,3
her in running her business,1926,0.146277,7
requested for loan of amt,1926,0.146277,7
years old and married to,1925,0.146201,26
will be able to repay,1924,0.146125,19
this loan will be used,1923,0.146049,32
why name is seeking loan,1923,0.146049,9
is married and the couple,1922,0.145973,5
amount of amt org to,1920,0.145822,15
and has amt children with,1920,0.145822,16
sell in order to generate,1920,0.145822,10
the goal of further developing,1919,0.145746,7
order to earn enough to,1918,0.14567,5
items she has been in,1917,0.145594,14
known by her community as,1917,0.145594,3
products name has been in,1917,0.145594,6
this loan so that she,1917,0.145594,28
family she would like loan,1916,0.145518,7
fulfill her dream of providing,1916,0.145518,5
and support her family by,1914,0.145366,10
amt of the price of,1913,0.14529,3
for loan for the first,1913,0.14529,11
greatest monthly expense is food,1913,0.14529,3
in order to increase his,1910,0.145062,31
it in the future she,1910,0.145062,9
and mother of four children,1909,0.144986,36
her children to school and,1909,0.144986,23
earns an average income of,1907,0.144834,3
meant that she has been,1907,0.144834,4
this is amt years old,1907,0.144834,4
will assure her of bumper,1907,0.144834,3
for more than ten years,1906,0.144758,23
assist her in running her,1905,0.144682,4
milk in her area her,1905,0.144682,3
