masked_fivegram,training_document_frequency,training_document_pct,countries_present,interpretation
to buy more sacks of,1091,0.08286,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
beverages to sell in her,1090,0.082784,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
pay his children school fees,1090,0.082784,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy seeds and start,1090,0.082784,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy farm inputs and,1080,0.082024,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay his children school,1072,0.081417,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy farm inputs to improve,1070,0.081265,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
other supplies needed for her,1066,0.080961,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as seeds and fertilizers,1063,0.080733,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other assorted items to,1055,0.080126,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy sacks of rice to,1050,0.079746,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
canned goods noodles drinks spices,1049,0.07967,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more bags of,1046,0.079442,19,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other supplies needed for,1045,0.079366,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more farm inputs such as,1037,0.078758,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase fruits and vegetables,1031,0.078303,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other beverages to sell,1029,0.078151,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy another dairy cow,1019,0.077391,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
supplies needed for her business,1018,0.077315,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase fruits and vegetables to,1012,0.07686,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy amt bags of rice,1010,0.076708,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizers to improve the quality,1008,0.076556,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other supplies needed to,1005,0.076328,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
dairy cows in order to,1002,0.0761,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to increase the,999,0.075872,20,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to expand her business by,996,0.075645,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for her daughter,995,0.075569,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other materials for her,989,0.075113,15,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sell in the local market,985,0.074809,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
better living conditions to her,984,0.074733,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to cater to more customers,983,0.074657,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
stock of groceries to sell,973,0.073898,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy vegetables to sell in,971,0.073746,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
org amt hybrid energy system,961,0.072986,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy certified seeds and,960,0.07291,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
amt hybrid energy system for,958,0.072759,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds to boost the quality,958,0.072759,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell in the local,955,0.072531,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more farm inputs such,951,0.072227,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for her general store business,946,0.071847,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to invest in high quality,938,0.07124,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
amt bags of rice amt,927,0.070404,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other farm supplies to,926,0.070328,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy cereals to sell,924,0.070176,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs to improve her,921,0.069948,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy seeds fertilizers and,918,0.069721,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
like canned goods noodles drinks,915,0.069493,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to increase his income from,914,0.069417,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other food items to,909,0.069037,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
improve her family living conditions,907,0.068885,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
better living conditions for her,901,0.068429,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and snack foods to sell,896,0.06805,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
maize flour and wheat flour,895,0.067974,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and other groceries to sell,890,0.067594,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy cattle to increase her,886,0.06729,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and to pay for labor,885,0.067214,19,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
other food items to sell,884,0.067138,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase seeds and fertilizer,884,0.067138,14,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as seeds and fertilizer,882,0.066986,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy school uniforms for,869,0.065999,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the org amt hybrid energy,864,0.065619,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy cereals such as,864,0.065619,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more charcoal to,864,0.065619,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
etc in order to expand,862,0.065467,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy livestock to increase her,861,0.065392,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase the org amt hybrid,860,0.065316,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase feed and vitamins,860,0.065316,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt baskets of,857,0.065088,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase cereals such as,844,0.0641,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more charcoal to sell,839,0.063721,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay her educational fees,829,0.062961,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as corn and beans,828,0.062885,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy more stock of clothes,826,0.062733,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
rice sugar soap and other,824,0.062581,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to expand her tailoring business,816,0.061974,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
other items to sell in,813,0.061746,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for her child,806,0.061214,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
take care of her children,804,0.061062,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
inputs such as fertilizer to,801,0.060835,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy raw materials for,798,0.060607,24,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy farm inputs to boost,794,0.060303,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase more sacks of rice,791,0.060075,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to improve her crop production,788,0.059847,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
maize and beans to sell,784,0.059544,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell to her local,782,0.059392,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to provide clean drinking water,778,0.059088,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy solar system for,776,0.058936,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
more animals to increase her,775,0.05886,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
farm inputs to boost production,772,0.058632,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy amt bales of,768,0.058328,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to pay for his son,761,0.057797,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy two pigs and,759,0.057645,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
high quality seeds and good,750,0.056961,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional fish to,748,0.056809,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to meet her customers demands,744,0.056506,15,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
personal care products rice sugar,742,0.056354,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sugar soap soft drinks and,741,0.056278,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
such as maize and beans,740,0.056202,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in order to increase his,739,0.056126,21,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy additional fish to sell,738,0.05605,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the demands of her customers,735,0.055822,15,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase additional items like,732,0.055594,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase more stocks of,732,0.055594,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and seeds to boost her,725,0.055063,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to improve her family living,720,0.054683,16,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
livestock in order to increase,717,0.054455,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more vegetables to,717,0.054455,17,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase stock of sugar,710,0.053923,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy more dried fish,708,0.053771,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to expand her business and,707,0.053695,22,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
quality seeds and good fertilizer,699,0.053088,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
the org amt energy system,698,0.053012,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
her general store such as,694,0.052708,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to restock her grocery store,694,0.052708,9,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
purchase the org amt energy,692,0.052556,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to grow more crops on,691,0.05248,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy spare parts and other,690,0.052404,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
school uniforms for her children,688,0.052252,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy additional supplies such as,687,0.052177,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase new sewing machine,687,0.052177,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy additional supplies such,686,0.052101,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy school uniforms and,686,0.052101,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase more palm oil,686,0.052101,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
cereals such as maize and,685,0.052025,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizers to improve her crop,681,0.051721,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
oil to increase her business,681,0.051721,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
groceries to sell in her,675,0.051265,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to increase his stock of,673,0.051113,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
and improve the quality of,672,0.051037,10,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
fertilizers and seeds to boost,670,0.050885,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
of personal products to sell,668,0.050734,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
profit to support her family,667,0.050658,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds to improve her farm,661,0.050202,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
